MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,OTYPE,SP_TYPE,SP_QUAL,SP_BIBCODE,FLUX_V,SCRIPT_NUMBER_ID,HAS_COMPANION,IS_COMPANION,COMPANION_NAME,DIST,ABS_MAG_V,X,Y,Z
del Gem B,110.02948666666664,21.981161666666665,14.0,14.0,0.0339,0.0356,90.0,A,O,2020yCat.1350....0G,53.9507,Star,K6V,C,1935ApJ....81..187A,8.180000305175781,0.0,False,True,,18.535440689370112,6.839985724891847,18.484142474992215,1.3655670224356535,0.18510867235770948
eps Dra B,297.0439529166667,70.26876861111111,14.0,14.0,0.0498,0.04,90.0,A,O,2020yCat.1350....0G,21.3808,HighPM*,F5III,C,1977AJ.....82..431L,6.800000190734863,0.0,False,True,,46.77093467035845,3.450119946054106,-3.0828937685461626,18.69345268187033,42.76179279194772
eps Hya C,131.69314,6.419157777777778,14.0,14.0,0.1073,0.0393,90.0,A,O,2020yCat.1350....0G,26.4371,SB*,F7V,D,1935ApJ....81..187A,,0.0,False,True,,37.825631404352215,,36.27640808938644,-9.40798951440314,5.127410707861702
eps Mon B,95.94369083333333,4.595870833333333,14.0,14.0,0.0178,0.0178,90.0,A,O,2020yCat.1350....0G,25.0633,Star,F5V,C,2003AJ....126.2048G,6.599999904632568,0.0,False,True,,39.898975793291385,3.595191167180147,0.5788253668018035,-4.602185313863362,-39.628438284712395
eps Scl B,26.412144999999995,-25.051329722222224,14.0,14.0,0.0248,0.0164,90.0,A,O,2020yCat.1350....0G,35.7514,HighPM*,K1V,C,1984ApJS...55..657C,8.5,0.0,False,True,,27.97093260683498,6.266465265702259,8.00905245309637,26.703073929638336,2.2746411602547014
eps01 Lyr B,281.0846325,39.67080222222222,14.0,14.0,0.0252,0.0275,90.0,A,O,2020yCat.1350....0G,20.4574,HighPM*,F0V,C,1995ApJS...99..135A,6.061999797821045,0.0,False,True,,48.88206712485457,2.6162519824816535,1.6747960627268998,19.00215607673819,45.006328543687545
eta Cas B,12.271632499999997,57.81782611111112,14.0,14.0,0.0126,0.0142,90.0,A,O,2020yCat.1350....0G,168.7186,HighPM*,K7Ve,C,2015A&A...577A.128A,7.510000228881836,0.0,False,True,,5.927028792320468,8.645815044082454,1.6848991319221716,-0.5115019747257546,5.659430267270319
eta Dra B,245.99962999999997,61.513130277777776,14.0,14.0,0.0343,0.0227,90.0,A,O,2020yCat.1350....0G,35.8204,HighPM*,K1V,D,1935ApJ....81..187A,,0.0,False,True,,27.91705285256446,,4.019518956788334,5.685500232114467,-27.034799692979476
iot Leo,170.98105499999997,10.529506111111113,14.0,14.0,0.3464,0.332,90.0,A,O,2018yCat.1345....0G,42.3548,HighPM*,F1IV,C,1976AJ.....81..245E,4.059999942779541,0.0,True,True,iot Leo B,23.610074891157556,2.1945131194644985,-2.4781073850239848,-10.316371210174598,-21.091872965866234
iot Leo B,170.98153125,10.529324166666667,14.0,14.0,0.1528,0.2552,90.0,A,O,2018yCat.1345....0G,41.4956,HighPM*,F5V,D,1935ApJ....81..187A,6.710000038146973,0.0,False,True,,24.098940610570757,4.80001028110165,-2.525316443969217,-10.534992399258998,-21.526626548467604
iot Pic B,72.73540458333332,-53.459699444444446,14.0,14.0,0.3629,0.3855,90.0,A,O,2020yCat.1350....0G,26.6754,SB*,F4V,C,1984ApJS...55..657C,6.190000057220459,0.0,False,True,,37.487722770792566,3.320554759369407,33.22656522380741,17.246347608670344,1.9718560111686045
kap Ret B,52.371292499999996,-62.946465555555555,14.0,14.0,0.376,0.4005,90.0,A,O,2020yCat.1350....0G,46.2401,HighPM*,M1e,D,2014MNRAS.443.2561G,10.619999885559082,0.0,False,True,,21.626250808281124,8.945093708707219,-10.953864369890296,18.482174802433217,-2.473215308263818
kap Tuc B,18.93989125,-68.87486555555554,14.0,14.0,0.0214,0.0173,90.0,A,O,2020yCat.1350....0G,47.65,HighPM*,K1V,C,1984ApJS...55..657C,7.579999923706055,0.0,False,True,,20.986358866736623,5.97031444857778,20.300869964831456,1.838890551075732,4.992035526278174
ksi Boo,222.84745166666664,19.100449722222223,14.0,14.0,0.0876,0.1166,90.0,A,O,2020yCat.1350....0G,148.0695,HighPM*,G7Ve,C,1978PASP...90..429L,4.675000190734863,0.0,True,True,ksi Boo B,6.753585309601235,5.527328240064847,-6.404314838493309,1.3357782714584814,1.6767117799477138
ksi Boo B,222.84601499999997,19.101913055555556,14.0,14.0,0.024,0.0412,90.0,A,O,2020yCat.1350....0G,148.1793,HighPM*,K5Ve,C,1978PASP...90..429L,6.815999984741211,0.0,False,True,,6.74858094214239,7.669937678947274,-6.3952387821356425,1.3434756440493296,1.6850337818459158
ksi Peg B,341.6764241666666,12.172533333333332,14.0,14.0,0.019,0.016,90.0,A,O,2020yCat.1350....0G,61.0806,HighPM*,M3.5,D,1985ApJS...59..197B,11.699999809265137,0.0,False,True,,16.371810362046215,10.629516281852517,-10.987768488087069,10.38441913314595,-6.28243244692348
ksi Sco,241.09220291666665,-11.372964444444445,14.0,14.0,0.1816,0.143,90.0,A,O,2020yCat.1350....0G,36.117,HighPM*,F5V,C,1999MSS...C05....0H,4.869999885559082,0.0,True,True,ksi Sco C,27.68779245230778,2.6585582314249,-7.03164526128373,7.392811692077854,25.7393890970049
ksi Sco C,241.09382124999996,-11.371635555555557,14.0,14.0,0.0224,0.0157,90.0,A,O,2020yCat.1350....0G,35.8528,HighPM*,G1V,C,1981ApJS...45..437A,,0.0,False,True,,27.89182434844698,,-7.071710708590747,7.410881328001423,25.942698608296375
lam Ari B,29.490490416666663,23.60310916666667,14.0,14.0,0.0237,0.0169,90.0,A,O,2020yCat.1350....0G,24.8272,HighPM*,G0,D,1987ApJ...313..389B,7.25,0.0,False,True,,40.278404330734034,4.224638713939134,-0.5755929440657775,-1.5544152647301737,-40.2442833378557
m Hya B,221.50246124999998,-25.444436944444444,14.0,14.0,0.0193,0.0176,90.0,A,O,2020yCat.1350....0G,32.6241,HighPM*,G1V,C,1984ApJS...55..657C,7.199999809265137,0.0,False,True,,30.652186573729242,4.767692507483406,-0.5886915867176443,29.16926829424632,-9.400200590663566
mu. Dra B,256.33421083333326,54.47063194444445,14.0,14.0,0.0586,0.1115,90.0,A,O,2020yCat.1350....0G,36.7902,SB*,F6V,C,1935ApJ....81..187A,5.690000057220459,0.0,False,True,,27.181151502302242,3.5186608010322895,-3.831377280622153,12.63557745919269,-23.758740021250738
mu. Ori B,90.59586875,9.647366388888889,10.0,10.0,12.0,12.0,90.0,B,O,2002A&A...384..180F,21.69,SB*,F2V,C,1976AJ.....81..245E,6.269999980926514,0.0,False,True,,46.10419548178884,2.9512977409974805,39.23751714406484,-21.964242155049515,-10.177728427628765
n Pup B,113.58023791666665,-23.47489722222222,14.0,14.0,0.0141,0.025,90.0,A,O,2020yCat.1350....0G,32.7919,HighPM*,F6V,C,2008ApJS..176..216A,5.795000076293945,0.0,False,True,,30.49533573839881,3.3738329808682517,-2.3480351714398946,-1.2310876961321462,30.379872542783602
ome Aur B,74.81429125,37.89160444444445,14.0,14.0,0.0199,0.0127,90.0,A,O,2020yCat.1350....0G,20.4394,HighPM*,F9,D,,8.210000038146973,0.0,False,True,,48.92511521864634,4.762340752673233,40.06438251972754,-26.474680717846052,9.359670579613416
omi Aql B,297.75283499999995,10.41107,14.0,14.0,0.0293,0.0242,90.0,A,O,2020yCat.1350....0G,51.3735,HighPM*,M4,D,2012ApJ...748...93R,13.699999809265137,0.0,False,True,,19.46528852423915,12.253695582105896,8.2255179035926,-6.9067315302747305,-16.23377257812437
